固定資産コード,固定資産補助コード,名称,減価償却資産区分,資産種類コード,資産種類名,勘定科目コード,勘定科目名,口座コード,口座名,部門コード,部門名,資産グループコード,資産グループ名,製造原価割合,販管費割合,営業外費割合,原価区分(一括償却),数量,数量の単位,所在地郵便番号,所在地住所,取得年月日,使用開始日,取得価額,購入先コード,購入先名,使用目的,少額資産の特例,保険種目,保険証券番号,保険金額,保守契約番号,保守契約定期点検,処分区分,処分年月日,売却先コード,売却先名,売却価額,処分見込価額,処分時帳簿価額,貸与先コード,貸与先名,貸与年月日,回収予定日,購入時証憑書番号,購入時課税区分,購入時消費税等,購入時消費税率,購入時元帳摘要,支払予定日,処分時証憑書番号,処分時課税区分,処分時消費税等,処分時消費税率,処分時元帳摘要,管理情報項目１,管理情報項目２,管理情報項目３,管理情報項目４,管理情報項目５,管理情報項目６,管理情報項目７,管理情報項目８,管理情報項目９,管理情報項目１０,管理情報項目１１,管理情報項目１２,管理情報項目１３,管理情報項目１４,管理情報項目１５,管理情報項目１６,管理情報項目１７,管理情報項目１８,管理情報項目１９,管理情報項目２０,備考１,備考２,構造・用途,細目,償却方法コード,償却方法名,耐用年数,耐用年数(月数),償却率,償却期間(分子),償却期間(分母),残存割合(生物用),残存簿価,自社償却方法コード,自社償却方法名,自社取得価額,自社償却基礎金額,自社調整前償却額,自社償却保証額,自社保証率,自社改定取得価額,自社改定償却率,自社耐用年数,自社耐用年数(月数),自社償却率,自社償却期間(分子),自社償却期間(分母),自社残存割合,自社償却可能限度額率,自社残存簿価,自社取得価額(翌期),自社耐用年数(翌期),自社償却率(翌期),自社残存割合(翌期),摘要表示方法,摘要表示内容,期首帳簿価額,前期繰越超過額,前期繰越不足額,償却の基礎金額,調整前償却額,償却保証額,保証率,改定取得価額,改定償却率,増加償却割増率,増加償却額,普通償却限度額,特別償却区分,特別償却限度額,償却限度額合計,減価償却実施額,減損損失額,当期償却額,償却実施額(製造原価),償却実施額(販管費),償却実施額(営業外費),償却累計額,期末帳簿価額,圧縮損計上,積立金計上,期首積立金,積立金取崩,期末積立金,認容償却不足,認容積立金取崩,次期繰越超過額,次期繰越不足額,償却資産申告区分コード,償却資産申告区分,申告先市町村コード,申告先市町村名,償却資産申告用資産種類,償却資産申告用耐用年数
5,0,ﾏｯｽﾙｽｰﾂ・ﾚﾝﾀﾙ用5　　IN005 樹脂ｶﾊﾞｰ　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,0,共通部門,1,工具器具備品,0,100,0,,1,,,,2015/1/2,2015/1/2,333600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55724,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,10,200%定率法,98000,78400,15680,6420,0.06552,,,10,,0.2,12,12,,,,,,,,当期のみ,,78400,49133,,127533,25506,21857,0.06552,,,,,25506,,,25506,15680,0,15680,0,15680,0,270880,62720,,,,,,9826,0,39307,0,1,申告対象,13104,新宿区,工具、器具及び備品,10
6,0,ﾏｯｽﾙｽｰﾂ・ﾚﾝﾀﾙ用6　　IN007 　　 　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,0,共通部門,1,工具器具備品,0,100,0,,1,,,,2015/1/2,2015/1/2,333600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55724,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,10,200%定率法,98000,78400,15680,6420,0.06552,,,10,,0.2,12,12,,,,,,,,当期のみ,,78400,49133,,127533,25506,21857,0.06552,,,,,25506,,,25506,15680,0,15680,0,15680,0,270880,62720,,,,,,9826,0,39307,0,1,申告対象,13104,新宿区,工具、器具及び備品,10
7,0,ﾏｯｽﾙｽｰﾂ・ﾚﾝﾀﾙ用7　  IN008 樹脂ｶﾊﾞｰ　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,0,共通部門,1,工具器具備品,0,100,0,,1,,,,2015/1/2,2015/1/2,333600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55724,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,10,200%定率法,98000,78400,15680,6420,0.06552,,,10,,0.2,12,12,,,,,,,,当期のみ,,78400,49133,,127533,25506,21857,0.06552,,,,,25506,,,25506,15680,0,15680,0,15680,0,270880,62720,,,,,,9826,0,39307,0,1,申告対象,13104,新宿区,工具、器具及び備品,10
8,0,ﾏｯｽﾙｽｰﾂ・ﾚﾝﾀﾙ用8　　IN009 樹脂ｶﾊﾞｰ　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,0,共通部門,1,工具器具備品,0,100,0,,1,,,,2015/1/2,2015/1/2,333600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55724,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,10,200%定率法,98000,78400,15680,6420,0.06552,,,10,,0.2,12,12,,,,,,,,当期のみ,,78400,49133,,127533,25506,21857,0.06552,,,,,25506,,,25506,15680,0,15680,0,15680,0,270880,62720,,,,,,9826,0,39307,0,1,申告対象,13104,新宿区,工具、器具及び備品,10
11,0,ﾏｯｽﾙｽｰﾂ　ﾀｯﾁ式　　　IN010　　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,0,共通部門,1,工具器具備品,0,100,0,,1,,,,2015/1/30,2015/1/30,312000,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51095,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,10,200%定率法,98000,78400,15680,6420,0.06552,,,10,,0.2,12,12,,,,,,,,当期のみ,,78400,43006,,121406,24281,20442,0.06552,,,,,24281,,,24281,15680,0,15680,0,15680,0,249280,62720,,,,,,8601,0,34405,0,2,申告対象外,,,,
16,0,ﾏｯｽﾙｽｰﾂ呼気式1　　　IN017　　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,0,共通部門,1,工具器具備品,0,100,0,,1,,,,2015/2/28,2015/2/28,350000,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72240,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,10,200%定率法,98000,78400,15680,6420,0.06552,,,10,,0.2,12,12,,,,,,,,当期のみ,,78400,57792,,136192,27238,22932,0.06552,,,,,27238,,,27238,15680,0,15680,0,15680,0,287280,62720,,,,,,11558,0,46234,0,1,申告対象,13104,新宿区,工具、器具及び備品,10
17,0,ﾏｯｽﾙｽｰﾂ　2B026　　　農林053　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
18,0,ﾏｯｽﾙｽｰﾂ　2B027　　　農林054　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
19,0,ﾏｯｽﾙｽｰﾂ　2B028　　　農林055　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
20,0,ﾏｯｽﾙｽｰﾂ  2B029　　　農林056　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
